# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  94 3.3317423481e-10 9.0330870226e-14 -2.5296581870e-12 3.5709901092e-16 1.2221273736e-11 1.7887665158e-12 -1.0910337063e-14
  95 3.3711591328e-10 9.2369166731e-14 -2.6159178162e-12 3.6480148678e-16 1.1890771371e-11 1.7494035818e-12 -1.0788604628e-14
  96 3.4108517660e-10 9.4392078408e-14 -2.7025019625e-12 3.7258987609e-16 1.1570678014e-11 1.7112296634e-12 -1.0597860595e-14
  97 3.4508225437e-10 9.6398227302e-14 -2.7893508628e-12 3.8046491400e-16 1.1261076868e-11 1.6742529452e-12 -1.0344921736e-14
  98 3.4910723541e-10 9.8386272131e-14 -2.8764042808e-12 3.8842738472e-16 1.0961964253e-11 1.6384708371e-12 -1.0037404875e-14
  99 3.5316006141e-10 1.0035491055e-13 -2.9636015477e-12 3.9647812269e-16 1.0673246325e-11 1.6038695665e-12 -9.6837491557e-15
 100 3.5724052050e-10 1.0230288143e-13 -3.0508816030e-12 4.0461801376e-16 1.0394735784e-11 1.5704237699e-12 -9.2932383105e-15
 101 3.6134824083e-10 1.0422896709e-13 -3.1381830356e-12 4.1284799646e-16 1.0126148593e-11 1.5380960859e-12 -8.8760229279e-15
 102 3.6548268423e-10 1.0613199563e-13 -3.2254441242e-12 4.2116906314e-16 9.8671006901e-12 1.5068367464e-12 -8.4431427221e-15
 103 3.6964313974e-10 1.0801084312e-13 -3.3126028783e-12 4.2958226118e-16 9.6171047031e-12 1.4765831688e-12 -8.0065488016e-15
 104 3.7382871725e-10 1.0986443593e-13 -3.3995970788e-12 4.3808869422e-16 9.3755666631e-12 1.4472595485e-12 -7.5791259380e-15
 105 3.7803834111e-10 1.1169175296e-13 -3.4863643191e-12 4.4668952333e-16 9.1417827187e-12 1.4187764505e-12 -7.1747148342e-15
 106 3.8227074369e-10 1.1349182792e-13 -3.5728420455e-12 4.5538596822e-16 8.9149358501e-12 1.3910304016e-12 -6.8081343934e-15
 107 3.8652471745e-10 1.1526359660e-13 -3.6589664046e-12 4.6417917753e-16 8.6942837073e-12 1.3639279876e-12 -6.4921232113e-15
