# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
 165 6.3678352733e-10 1.2994787863e-13 -5.7570749502e-12 1.2067148635e-15 2.6510277478e-12 5.3206199077e-13 -3.0569628465e-15
 166 6.4054627450e-10 1.2863275941e-13 -5.7096603716e-12 1.2230158003e-15 2.6042785527e-12 5.2471526002e-13 -2.9950677807e-15
 167 6.4426452058e-10 1.2729116203e-13 -5.6586412033e-12 1.2394533996e-15 2.5585891349e-12 5.1750219587e-13 -2.9338023014e-15
 168 6.4793717609e-10 1.2592583831e-13 -5.6040061565e-12 1.2560276078e-15 2.5139483678e-12 5.1042152220e-13 -2.8731452672e-15
 169 6.5156313491e-10 1.2453965767e-13 -5.5457461541e-12 1.2727383408e-15 2.4703418575e-12 5.0347149607e-13 -2.8130719690e-15
 170 6.5514127400e-10 1.2313560869e-13 -5.4838543703e-12 1.2895854837e-15 2.4277518771e-12 4.9664989813e-13 -2.7535540591e-15
 171 6.5867045310e-10 1.2171680060e-13 -5.4183262713e-12 1.3065688903e-15 2.3861573005e-12 4.8995402303e-13 -2.6945594815e-15
 172 6.6214951448e-10 1.2028646484e-13 -5.3491596557e-12 1.3236883825e-15 2.3455335370e-12 4.8338066975e-13 -2.6360524009e-15
 173 6.6557728267e-10 1.1884795656e-13 -5.2763546944e-12 1.3409437499e-15 2.3058524651e-12 4.7692613206e-13 -2.5779931326e-15
 174 6.6895256415e-10 1.1740475617e-13 -5.1999139714e-12 1.3583347492e-15 2.2670823668e-12 4.7058618888e-13 -2.5203380718e-15
 175 6.7227414713e-10 1.1596047082e-13 -5.1198425236e-12 1.3758611037e-15 2.2291878618e-12 4.6435609467e-13 -2.4630396234e-15
 176 6.7554080124e-10 1.1451883601e-13 -5.0361478817e-12 1.3935225030e-15 2.1921298418e-12 4.5823056982e-13 -2.4060461314e-15
 177 6.7875127724e-10 1.1308371703e-13 -4.9488401100e-12 1.4113186022e-15 2.1558654041e-12 4.5220379104e-13 -2.3493018087e-15
